German,English
das Segment,the segment
der Selbstzweifel,the self doubt
das Selbstbewusstsein,the self-confidence
die Selbstauskunft,the self-disclosure
die Dienstleistung,the service
der Servicebereich,the service area
der Werkvertrag,the service contract
die Sitzung,the session
das Set,the set
die Einstellung,the settings
der Schwerbehinderte,the severely disabled person
die Nähmaschine,the sewing machine
die Schicht,the shift
der Schichtwechsel,the shift change
der Schichtplan,the shift plan
die Schichtarbeit,the shift work
die Kurzzeitpflege,the short-term care
die Schüchternheit,the shyness
die Sicherheitsbestimmung,the safety regulation
die Sicht,the sight
das Stillschweigen,the silence
das Silikon,the silicone
die SIM-karte,the sim card
das Waschbecken,the sink
das Baubüro,the site office
die Ortsbegehung,the site visit
der Ausbildungsberuf,the skilled occupation
die Hautallergie,the skin allergy
die Rutschgefahr,the slip hazard
der Schlitz,the slit
die Kleinigkeit,the small detail
der Small Talk,the small talk
der Seifenspender,the soap dispenser
die Sozialleistung,the social benefit
die SV,the social insurance
die Sozialabgabe,the social security contributions
die Gesellschaft,the society
die Soft Skills,the soft skills
der SolZ,the solidarity surcharge
die Tagessuppe,the soup of the day
die Therme,the spa
der Sprecher,the speaker
die Aktion,the special offer
der Sonderwunsch,the special request
der Spezialist,the specialist
die Facharztpraxis,the specialist medical practice
der Fachtext,the specialist text
die Fachübersetzung,the specialist translation
die Vorgabe,the specification
die Rede,the speech
der Splitter,the splinter
der Personalausgang,the staff exit
der Edelstahl,the stainless steel
die Edelstahleinbauspüle,the stainless steel in-built sink
der Ständer,the stand
der Standard,the standard
der Lebensstandard,the standard of living
die Normung,the standardisation
der Start,the start
der Jahresanfang,the start of the year
der Gesundheitszustand,the state of health
die Abrechnung,the statement
der Dampf,the steam
der Schritt,the step
der Schwiegervater,the stepfather
der Sticker,the sticker
der Materialschrank,the storage cupboard
der Lagerraum,the storage room
die Ladenöffnungszeit,the store opening hours
der Stressfaktor,the stress factor
die Stressresistenz,the stress resistance
das Streikverbot,the strike ban
der Ausbildungsaufbau,the structure of qualification
die Studiengemeinschaft,the study
das Kuscheltier,the stuffed animal
die Abgabe,the submission
der Nachfolger,the successor
die Suite,the suite
die Gesamtsumme,the sum total
die Sommersaison,the summer season
der Vorgesetzte,the superior
die Beilage,the supplement
das Zubehör,the supplies
die Unterstützung,the support
der Aufpreis,the surcharge
die Nachhaltigkeit,the sustainability
das Syndrom,the syndrome
das System,the system
das Tischtennis,the table tennis
das Tablet,the tablet
der Näher,the tailor
die Schneiderei,the tailor’s
die Zieladresse,the target address
die Steuerklasse,the tax bracket
die Teambesprechung,the team meeting
die Technikerschule,the technical school
t,the technology
das Telefonat,the telephone call
die Zeitarbeit,the temporary work
die Beendigung,the termination
der Probelauf,the test run
die Textilfirma,the textile company
die Textilien,the textiles
die Erlebniswelt,the theme park
die These,the thesis
das Drittel,the third
der Daumennagel,the thumbnail
die Tageszeit,the time of day
der Freizeitausgleich,the time off in lieu
der Urlaubsantrag,the time off request
das Zeitalter,the time period
der Tinnitus,the tinnitus
das Lächeln,the to smile
das Anstoßen,the to toast
das Toilettenpapier,the toilet paper
der Gesamtbetrag,the total amount
der Gesamtpreis,the total price
der Farbakzent,the touch of colour
der Touchscreen,the touchscreen
der Tourismus,the tourism
die Messe,the trade fair
das Messegelände,the trade fair grounds
der Messestand,the trade fair stand
das Geschäftsgeheimnis,the trade secret
der Verkehrsunfall,the traffic accident
der Aufhänger,the trailer
die Schulung,the training
die Fortbildungsakademie,the training academy
der Lehrgang,the training course
die Ausbildungsstelle,the training institute
die Schulungsmaßnahme,the training measure
die Ausbildungszeit,the training period
der Übertragungszeitraum,the transfer period
der Übergang,the transition
der Übersetzungsdienst,the translation agency
der Übersetzerdienst,the translation service
der Übersetzer,the translator
der Transport,the transport
der Fahrdienst,the transport service
das Transportschiff,the transport ship
der Prozess,the trial
die Probefrist,the trial period
der Clou,the trick
die Stolperkante,the trip hazard
das Vertrauen,the trust
die Rohrdämmung,the tubing insulation
der Tunnel,the tunnel
das TV,the TV
der Zwilling,the twin
der Berufstyp,the type of occupation
die Ausbildungsart,the type of qualification
die Verständigung,the understanding
die Arbeitslosenversicherung,the unemployment insurance
die Unterrichtseinheit,the unit
der Einzelpreis,the unit price
die Hochschule,the university
der Hochschulabschluss,the university degree
die Aktualisierung,the update
der Bewegungsdrang,the urge to move
der Eilzuschlag,the urgency fee
die Eilübersetzung,the urgent translation
der USB-Anschluss,the USB port
der Stick,the usb stick
die Nutzung,the use
die Mehrwertsteuer,the value added tax
die MwSt,the VAT
der VDA,the VDA
der Wagen,the vehicle
der Fahrzeugbrief,the vehicle registration document
die Fahrzeugsicherheit,the vehicle safety
das Lüftungsrohr,the ventilation pipe
der Ausblick,the view
der Arztbesuch,the visit to the doctor
der Besucher,the visitor
die Berufsfachschule,the vocational college
die Berufsbildungsreife,the vocational education certificate
der Berufsabschluss,the vocational qualification
der Lohn,the wage
die Servicekraft,the waiter
die Wartezeit,the waiting time
die Stationsschwester,the ward nurse
der Lagerarbeiter,the warehouse worker
der Lagerist,the warehouseman
die Garantieleistung,the warranty coverage
das Wasserrohr,the water pipe
der Heimweg,the way home
die Schwäche,the weakness
das Netz,the web
die Webcam,the webcam
das Wochenendseminar,the weekend seminar
der Wellnessbereich,the wellness area
das Whiteboard,the whiteboard
das WLAN,the wifi
der Abzug,the withdrawal
die DOB,the women's outer garments
der Arbeitsbereich,the work area
die Arbeitskleidung,the work clothes
die Arbeitsverhinderung,the work disability
die Arbeitsanweisung,the work instruction
die Arbeitsleistung,the work performance
der Arbeitsabschnitt,the work section
der Arbeitsschritt,the work stage
die Arbeitsplatte,the work surface
der Arbeitsablauf,the workflow
die Belegschaft,the workforce
das Betriebsklima,the working atmosphere
die Arbeitsbedingung,the working condition
der Berufsalltag,the working day
das Arbeitsleben,the working life
der Arbeitsprozess,the working process
das Arbeitsverhältnis,the working relationship
das Arbeitspensum,the workload
die Arbeitsstätte,the workplace
die Arbeitsfläche,the worktop
die Berufsbekleidung,the workwear
der Weltkrieg,the world war
die Weltleitmesse,the world-leading conference
die Wunde,the wound
das Schriftstück,the written document
die Schriftform,the written form
die Abmahnung,the written warning
der Erzieher,the youth care worker
die Zugangsvoraussetzung,the Zugangsvoraussetzungen entrance requirement
theoretisch,theoretical
therapeutisch,therapeutic
dahin,there
dreijährig,three-year
ordentlich,tidy
leidig,tiresome
aufladen,to
annehmen,to accept
begleiten,to accompany
anschaffen,to acquire
aktivieren,to activate
hinzufügen,to add
ansprechen,to address
bewundern,to admire
werben,to advertise
anbringen,to affix
betragen,to amount to
erscheinen,to appear
gelten,to apply
anreisen,to arrive
montieren,to assemble
aneignen,to assimilate
assistieren,to assist
unterstellen,to assume
automatisieren,to automate
ausweichen,to avoid
zutreffen,to be applicable
langweilen,to be bored
leichtfallen,to be easy for sb
im Argen liegen,to be in a sorry state
im Lot sein,to be in balance
verhalten,to behave
verraten,to betray
bluten,to bleed
abbauen,to break down
nötigen,to bully
bündeln,to bundle
verbrennen,to burn
ausrechnen,to calculate
zurückrufen,to call back
beruhigen,to calm
durchführen,to carry out
anrichten,to cause
abfeiern,to celebrate
plaudern,to chat
überprüfen,to check
raussuchen,to choose
rausschmeißen,to chuck out
erläutern,to clarify
abräumen,to clear up
mitteilen,to communicate
vergüten,to compensate
antreten,to compete
vervollständigen,to complete
einräumen,to concede
anschließen,to connect
bedenken,to consider
erbauen,to construct
beinhalten,to contain
weitermachen,to continue
weiterführen,to continue with
widersprechen,to contradict
beitragen,to contribute
steuern,to control
koordinieren,to coordinate
erstellen,to create
kritisieren,to criticise
wagen,to dare
abziehen,to deduct
definieren,to define
verneinen,to deny
aufeinander verlassen,to depend on one another
bezeichnen,to designate
verschicken,to despatch
ermitteln,to detect
verfallen,to deteriorate
bestimmen,to determine
unterscheiden,to differ
entladen,to discharge
verfügen,to dispose
abmontieren,to dissemble
fortbilden,to do further studies
dokumentieren,to document
zweifeln,to doubt
runterladen,to download
vorantreiben,to drive forward
rausfahren,to drive out
wirtschaften,to economise
weiterbilden,to educate further
beseitigen,to eliminate
betten,to embed
anstellen,to employ
vergrößern,to enlarge
eintragen,to enter
schätzen,to estimate
bewerten,to evaluate
untersuchen,to examine
austauschen,to exchange
ausschließen,to exclude
ausüben,to exercise
existieren,to exist
erweitern,to expand
ablaufen,to expire
äußern,to express
verlangen,to extend
erkranken,to fall ill
bevorzugen,to favour
fürchten,to fear
herbeiholen,to fetch
auffüllen,to fill up
finanzieren,to finance
schwerfallen,to find something difficult
schweben,to float
verbieten,to forbid
zwingen,to force
absehen,to foresee
verzeihen,to forgive
erfüllen,to fulfil
weiterbringen,to further
weiterentwickeln,to further develop
erwerben,to gain
einholen,to gather
verallgemeinern,to generalise
kriegen,to get
gewöhnen,to get used to
verschenken,to gift
aufgeben,to give up
losschießen,to go ahead
herumgehen,to go around
aussterben,to go extinct
durchlaufen,to go through
gutgehen,to go well
schiefgehen,to go wrong
ergreifen,to grip
föhnen,to hair dry
abhängen,to hang around
auflegen,to hang up
ereignen,to happen
wirken,to have an effect
einen langen Atem haben,to have staying power
aushelfen,to help out
mitgestalten,to help shape
umsetzen,to implement
steigern,to increase
einleiten,to initiate
erfragen,to inquire
auslegen,to interpret
investieren,to invest
freihalten,to keep clear
lehnen,to lean
erlernen,to learn
abgehen,to leave
hinterlassen,to leave behind
ausleihen,to lend
heben,to lift
anhören,to listen to
einrasten,to lock into place
umsehen,to look around
durchschauen,to look through
sich Mühe geben,to make an effort
freistellen,to make available
Kontakte knüpfen,to make contacts
gutmachen,to make it up
vermerken,to make note of
vorwärtskommen,to make progress
fertigmachen,to make ready
verwalten,to manage
betreuen,to mentor
beirren,to mislead
jammern,to moan
aufsteigen,to move up
durchmogeln,to muddle through
navigieren,to navigate
vernachlässigen,to neglect
verhandeln,to negotiate
bemerken,to notice
befolgen,to obey
überwachen,to observe
beziehen,to obtain
besetzen,to occupy
auftreten,to occur
orientieren,to orient
auslagern,to outsource
überwinden,to overcome
mitbestimmen,to participate
unterteilen,to partition
versterben,to pass away
weitererzählen,to pass on
durchfahren,to pass through
gestatten,to permit
durchhalten,to persevere
bestehen,to persist
hinstellen,to place
einplanen,to plan
anpflanzen,to plant
sichergehen,to play safe
hinweisen,to point out
schildern,to portray
posten,to post
vorziehen,to prefer
darlegen,to present
abhalten,to prevent
aufstemmen,to prise open
befördern,to promote
leisten,to provide
wegstecken,to put away
ausstrahlen,to radiate
überarbeiten,to re-work
vorlesen,to read aloud
nachlesen,to read up on
realisieren,to realise
aufnehmen,to receive
weiterempfehlen,to recommend
wiederfinden,to recover
betrachten,to regard
registrieren,to register
bedauern,to regret
umsiedeln,to relocate
verbleiben,to remain
beheben,to remedy
entfernen,to remove
umbenennen,to rename
renovieren,to renovate
vertreten,to represent
nachholen,to resit
beschließen,to resolve
umschulen,to retrain
belohnen,to reward
reißen,to rip
schrauben,to screw
anschrauben,to screw on
verschließen,to seal
auswählen,to select
wegschicken,to send away
abgelten,to settle
prägen,to shape
verschiffen,to ship
verkürzen,to shorten
anzeigen,to show
signalisieren,to signal
einsortieren,to sort
lauten,to sound
verbreiten,to spread
dastehen,to stand there
aussagen,to state
anstreben,to strive
zusenden,to submit
gelangen,to succeed
suggerieren,to suggest
zusammenfassen,to summarise
mitliefern,to supply with
überleben,to survive
freinehmen,to take leave
protokollieren,to take minutes
beherzigen,to take to heart
zielen,to target
berühren,to touch
handeln,to trade
versetzen,to transfer
transportieren,to transport
trauen,to trust
umkehren,to turn back
runterfahren,to turn off
wenden an,to turn to
unterziehen,to undergo
nachvollziehen,to understand
vornehmen,to undertake
ausladen,to unload
auspacken,to unpack
aktualisieren,to update
drängen,to urge
duzen,to use the ‘du’ form
siezen,to use the ‘Sie’ form
abstimmen,to vote
abwarten,to wait for
wachen,to watch
wischen,to wipe
zurückziehen,to withdraw
einbehalten,to withhold
erarbeiten,to work out
abarbeiten,to work through
ergeben,to yield
zoomen,to zoom
tolerant,tolerant
zweijährig,two-year
arbeitsunfähig,unable to work
unsicher,uncertain
unkompliziert,uncomplicated
verständnisvoll,understanding
unverschuldet,undeserved
arbeitslos,unemployed
ungerecht,unfair
unwichtig,unimportant
unliniert,unlined
unsachlich,unobjective
ungeplant,unplanned
unangenehm,unpleasant
unrealistisch,unrealistic
unpassend,unsuitable
bislang,until now
gebrauchen,used
nützlich,useful
schwach,weak
wochenlang,week-long
wöchentlich,weekly
durchgeplant,well-planned
binnen,within
fußläufig,within walking distance
reibungslos,without a hitch
unfallfrei,without accident
weltgrößte,world’s biggest
