deutsch,englisch
das Weihnachtsgeschäft,the Christmas sales
weiterentwickeln,to further develop
das Whiteboard,the whiteboard
die Wichtigkeit,the importance
widersprechen,to contradict
das Wissen,the knowledge
die Zukunftsprognose,the forecast
das Zusatzstudium,the postgraduate studies
die Abdeckung,the coverage
abgelten,to settle
der Abschnitt,the paragraph
die Abteilungsleitung,the head of department
der Akku,the battery
aktivieren,to activate
aktualisieren,to update
die Aktualisierung,the update
die Anleitung,the guidance
die Anordnung,the layout
der Anschlusskontakt,the connector contact
ansprechbar,responsive
der Anspruch,the claim
das Anstoßen,the to toast
anzeigen,to show
die Arbeitsfläche,the worktop
die Arbeitskleidung,the work clothes
der Arbeitsschutzschuh,the protective footwear
die Arbeitsunfähigkeit,the inability to work
der Arbeitsunfall,the accident at work
das Arbeitsverhältnis,the working relationship
ätzend,corrosive
aufladen,to
auflegen,to hang up
die Augenschädigung,the eye damage
auseinander,apart
austauschen,to exchange
die Bedienungsanleitung,the operating instructions
die Beendigung,the termination
der Befehl,the order
befolgen,to obey
beinhalten,to contain
bekämpfen,to tackle
beliebig,as desired
benommen,dazed
die Berücksichtigung,the consideration
die Berufsbekleidung,the workwear
die Berufsgruppe,the occupation group
die Berufskleidung,the work clothes
die Bestimmung,the provision
betrieblich,operational
die Betriebsvereinbarung,the company agreement
beziehungsweise,respectively
bluten,to bleed
die Blutung,the bleeding
der Chat,the chat
das Cover,the cover
der Dampf,the steam
der Daumennagel,the thumbnail
detailliert,detailed
digital,digital
das Display,the display
der E,the ebook reader
einrasten,to lock into place
die Einstellung,the settings
das Element,the element
entfernen,to remove
entladen,to discharge
ermitteln,to detect
erscheinen,to appear
der,the first aider
die Evakuierung,the evacuation
das Feld,the field
die Ferien,the holidays
die Feuerlöscheinrichtung,the Feuerlöscheinrichtungen fire extinguishing unit
die Feuerwehr,the fire brigade
die Flatrate,the flat rate
die Flucht,the escape
der Fluchtweg,the escape route
die Flüssigkeit,the fluid
das Folgejahr,the following year
das Fotoalbum,the photo album
der Fotokopierer,the photo copier
freihalten,to keep clear
die Freistellung,the making available
der Freizeitausgleich,the time off in lieu
die Funktion,the function
die Fußverletzung,the foot injury
der Gabelstapler,the forklift trucks
gefährlich,dangerous
der Gehörschutz,the hearing protection
das Gelände,the grounds
gelangen,to succeed
gestatten,to permit
das Gleichgewicht,the balance
das GPS,the GPS
die Großküche,the industrial kitchen
das Großlager,the large warehouse
der Handwerksbetrieb,the craftsman’s business
das Hauptmenü,the main menu
herbeiholen,to fetch
herkömmlich,conventional
hinzufügen,to add
der Jahresurlaub,the annual leave
die Kalenderfunktion,the calendar function
das Kalenderjahr,the calendar year
die Kernarbeitszeit,the main working hours
der Kittel,the overalls
der Kopfschutz,the protective headgear
die Kopfverletzung,the head injury
der Krankenwagen,the ambulance
das Kriterium,the criteria
die Kündigungsfrist,the notice period
die Kurzanleitung,the brief instruction
das Ladegerät,the charger
die Ladenöffnungszeit,the store opening hours
der Ladevorgang,the loading process
die Last,the burden
die Latzhose,the overalls
der,the manager
der Mindesturlaub,the minimum leave
mitliefern,to supply with
das Mobiltelefon,the mobile telephone
die Navigation,the navigation
die Navigationsfunktion,the navigation function
navigieren,to navigate
der,the emergency doctor
der Notausgang,the emergency exit
die Notfallnummer,the emergency number
das Notizbuch,the notepad
ordnungsgemäß,properly
die Ortungsfunktion,the location function
der Overall,the overalls
die Pausenregelung,the break regulation
die Pausenzeit,the break period
der Pfeil,the arrow
das Piktogramm,the pictogram
die Platzwunde,the laceration
das Prinzip,the principle
das Probefoto,the sample photo
der QR,the QR code
der Resturlaub,the remaining leave
der Rettungsdienst,the rescue service
die Route,the route
die Routenberechnung,the route calculation
rückseitig,on the reverse
die Rutschgefahr,the slip hazard
sanft,gently
der,the paramedic
schulpflichtig,required to attend school
die Schutzausrüstung,the safety equipment
der Schutzhelm,the safety helmet
schweben,to float
die Sicherheitsbestimmung,the Sicherheitsbestimmungen safety regulation
die Sicherheitsvorschrift,the safety rule
die SIM,the sim card
die Spätschicht,the late shift
die Speicherkarte,the memory card
spitz,sharp
der Splitter,the splinter
der Standort,the location
die Stolperfalle,the trip hazard
die Stolpergefahr,the trip hazard
der Straßenbau,the road works
die Sturzgefahr,the risk of falling
das Suchfeld,the search box
das Suchsymbol,the search symbol
das Tablet,the tablet
das Telefonat,the telephone call
der Touchscreen,the touchscreen
der Übergang,the transition
die Überstundenregelung,the overtime regulation
der Übertragungszeitraum,the transfer period
unterteilen,to partition
der Urlaubsanspruch,the leave entitlement
der Urlaubsantrag,the time off request
der USB,the USB port
verbleiben,to remain
verbrennen,to burn
verfallen,to deteriorate
vergüten,to compensate
der,the injured person
die Verletzung,the injury
verwalten,to manage
der Vorgang,the procedure
wöchentlich,weekly
die Wunde,the wound
die Zieladresse,the target address
der Zollstock,the folding ruler
zoomen,to zoom
zumal,particularly as
die Abgabe,the submission
ablaufen,to expire
die Abmahnung,the written warning
die Abrechnung,the statement
der,the head of department
abziehen,to deduct
der,the withdrawal
anderswo,somewhere else
anhand,by means of
die Anrechnung,the charges
anstreben,to strive
antreten,to compete
die Arbeitsleistung,the work performance
die Arbeitslosenversicherung,the Arbeitslosenversicherungen unemployment insurance
arbeitssuchend,job
arbeitsunfähig,unable to work
die Arbeitsvergütung,the remuneration for work carried out
die Arbeitsverhinderung,the work disability
der Aspekt,the aspect
der Aufbau,the development
aufsteigen,to move up
auslagern,to outsource
die Auszahlung,the payment
automatisch,automatic
die AV,the unemployment insurance
bedürfen,to require
beeinträchtigend,detrimental
befördern,to promote
befristet,temporary
die Begleitung,the support
beiderseits,on both sides
die Belegschaft,the workforce
bemerken,to notice
der,the professional driver
berühren,to touch
besetzen,to occupy
die Betriebsstätte,the business premises
betriebswirtschaftlich,economic
brutto,gross
das Bruttogehalt,the gross income
die Bruttovergütung,the gross compensation
der,the coach
die Compliance,the compliance
dastehen,to stand there
die Durchsetzung,the implementation
einbehalten,to withhold
die Eingliederung,the inclusion
die Einigung,the agreement
einwöchig,one
das E,the e
die Elektrotechnik,the electro
entgeltlich,for a fee
erarbeiten,to work out
ergreifen,to grip
erlernen,to learn
die Erstattung,the payment
die Essensausteilung,the food distribution
die Fachrichtung,the field
fähig,able
der Fernkurs,the distance learning course
der Fernlehrgang,the distance learning
die Flexibilität,the flexibility
die Forderung,the claim
die Fortzahlung,the continued payment
freistellen,to make available
die Führungskraft,the executive
die Führungsqualität,the leadership quality
die Gehaltserhöhung,the pay increase
die Genehmigung,the approval
genügend,sufficient
geprüft,checked
das Geschäftsgeheimnis,the trade secret
die Gleichberechtigung,the equal rights
der Großteil,the majority
der Hauptsitz,the headquarters
heutzutage,nowadays
hinweisen,to point out
die Honorartätigkeit,the freelance job
der,the industrial foreman
der,the installation technician
das Instrument,the instrument
die Interessenvertretung,the advocacy group
interkulturell,inter
der Jahresanfang,the start of the year
der Kalendermonat,the calendar month
die Kirchensteuer,the church tax
die Klausel,the clause
die Konfession,the confession
die Konstruktion,the construction
der Konzern,the group
die KV,the HI
das Lernangebot,the learning opportunity
die Lohnart,the salary type
die Lohnsteuer,the income tax
losschießen,to go ahead
der Minijob,the mini job
nachfolgend,subsequent
der,the successor
die Nebenbeschäftigung,the secondary employment
die Nebentätigkeit,the secondary employment
der Nettobetrag,the net amount
das Nettogehalt,the net income
der Nettoverdienst,the net earnings
nichtselbstständig,not self
das Outsourcing,the outsourcing
der Paragraph,the paragraph
die Personalleitung,the head of personnel
die Pflegeversicherung,the nursing insurance
die Probefrist,the trial period
der Puls,the pulse
die PV,the nursing insurance
realistisch,realistic
die Reinigung,the cleaning
rentenversichert,covered by pension insurance
die RV,the pension insurance
die Schriftform,the written form
der Schutz,the protection
der,the severely disabled person
sichergehen,to play safe
der SolZ,the solidarity surcharge
die Sozialabgabe,the social security contributions
die Sperrzeit,the blocking time
die Steuerklasse,the tax bracket
steuerlich,fiscal
das Stillschweigen,the silence
das Streikverbot,the strike ban
die Studiengemeinschaft,the study
die SV,the social insurance
tätig,active
die Teilzeitanstellung,the part
unrealistisch,unrealistic
unwirksam,ineffective
die UV,the accident insurance
verbieten,to forbid
verlangen,to extend
die Verringerung,the reduction
die Verschwiegenheitspflicht,the Verschwiegenheitspflichten confidentiality agreement
die Versorgung,the care
die Vertragsänderung,the contract amendment
vorantreiben,to drive forward
das Vorfeld,the run
vorrätig,in stock
vorweisen,to show
wachen,to watch
weiterbilden,to educate further
weitererzählen,to pass on
der Werkvertrag,the service contract
wiederfinden,to recover
die Wirksamkeit,the effectiveness
wirtschaftlich,economical
die Zeitarbeit,the temporary work
zulässig,reliable
die Zustimmung,the consent
abgehen,to leave
allgemeinbildend,of general educational value
ängstlich,anxious
Argen; im Argen liegen,bad; to be in a sorry state
der Berufsabschluss,the vocational qualification
die Berufsbildungsreife,the vocational education certificate
bescheiden,modest
die Bildungseinrichtung,the educational facility
der Bildungsserver,the education server
böse; jmdm. böse sein,nasty; be angry with sb
drängen,to urge
durchmogeln,to muddle through
durchsetzen,to carry out
das Erwachsenenalter,the adulthood
erwerben,to gain
existieren,to exist
der Fakt,the fact
familiär,familial
der Fernunterricht,the distance learning
die Hochschule,the university
die Hochschulreife,the higher education entrance qualification
die Hoffnung,the hope
investieren,to invest
das Jugendalter,the adolescence
kämpfen,to tackle
mangelnd,insufficient
die Mittlere Reife,the school leaving certificate
die Motivation,the motivation
nachholen,to resit
örtlich,local
prägen,to shape
qualifiziert,qualified
schwerfallen,to find something difficult
der Sekundarabschluss,the secondary qualification
selbstbewusst,self
stolz,proud
theoretisch,theoretical
die Unterstützung,the support
verraten,to betray
verständnisvoll,understanding
weiterbringen,to further
die Weiterentwicklung,the further development
wissenschaftlich,scientific
die Zugangsvoraussetzung,the Zugangsvoraussetzungen entrance requirement
der Afrorap,the Afro rap
aneignen,to assimilate
die Aufräumarbeit,the clean
die Beanspruchung,the claim
beherzigen,to take to heart
die Belastungssituation,the load situation
die Belohnung,the reward
beteiligen,to participate
der Bewegungsdrang,the urge to move
der Burnout,the burnout
der Dauerzustand,the permanent state
die Delegation,the delegation
die Depression,the depression
durchgeplant,well
der Einsatz,the operation
ereignen,to happen
extrem,extreme
geradewegs,straightaway
gespült,rinsed
gestresst,stressed
gewöhnen,to get used to
die Hausarbeit,the homework
heben,to lift
komplett,complete
körperlich,physically
das Lächeln,the to smile
das Lot; im Lot sein,the plumb; to be in balance
die Mahlzeit,the mealtime
die Managerkrankheit,the executive burnout
das Menschenleben,the human life
die Not,the emergency
der,the emergency paramedic
die Notsituation,the emergency situation
permanent,permanent
pflegebedürftig,in need of care
das Privatleben,the private life
psychisch,psychological
der Rap,the rap
die Rettungskraft,the rescue team
schätzen,to estimate
der,stepfather
der Selbstzweifel,the self doubt
der Stressfaktor,the stress factor
die Stressresistenz,the stress resistance
das Syndrom,the syndrome
der Tinnitus,the tinnitus
umsetzen,to implement
der Unfallort,the accident scene
ungeplant,unplanned
unterscheiden,to differ
veranschlagen,to estimate
der Verkehrsunfall,the traffic accident
vernachlässigen,to neglect
versterben,to pass away
wegstecken,to put away
das Wochenendseminar,the weekend seminar
die Work,the work
zurückziehen,to withdraw
zutrauen,to dare
zweijährig,two
die Analyse,the analysis
der,the contact person
ausstrahlen,to radiate
die Ausstrahlung,the radiance
bewundern,to admire
der,the accountant
die Fachkenntnis,the expert knowledge
fleißig,hard
die Gelassenheit,the composure
die Hard Skills,the hard skills
methodisch,methodical
das Motivationsschreiben,the letter of motivation
die Persönlichkeit,the personality
die Putzkraft,the member of cleaning staff
schüchtern,shy
die Schüchternheit,the shyness
die Schwäche,the weakness
das Selbstbewusstsein,the self
das Selbstvertrauen,the confidence
die Soft Skills,the soft skills
souverän,sovereign
die Stärkung,the reinforcement
überwinden,to overcome
die Unterrichtseinheit,the unit
das Volkshochschulprogramm,the Volkshochschulprogramme evening classes programme
zugehen,to approach
aussterben,to go extinct
automatisieren,to automate
autonom,autonomous
belohnen,to reward
das Benzin,the petrol
die Berufskrankheit,the occupational illness
dankbar,thankful
die Entschlossenheit,the determination
das Ermessen,the judgement
der,the long
finanzieren,to finance
die Förderung,the funding
fröhlich,happy
die Hautallergie,the skin allergy
der Hochschulabschluss,the university degree
jammern,to moan
der,the warehouse worker
der,the food technician
der Lebensstandard,the standard of living
der Lehrgang,the training course
die Meisterwerkstatt,the professional workshop
mutig,brave
die Naturwissenschaft,the natural science
nervig,annoying
nötigen,to bully
die Perspektive,the perspective
das Reinigungsmittel,the cleaning agent
die Reparaturwerkstatt,the repair workshop
die Robotik,the robotics
das Schmiermittel,the lubricating agent
sensibel,sensitive
solange,as long as
die Spedition,the haulage
die Technologie,the technology
umschulen,to retrain
vornehmen,to undertake
die Wahrscheinlichkeit,the probability
wenigstens,at least
das Zeitalter,the time period
die Zukunftsaussicht,the future prospect
abbrechen,cancel
absolut,absolute
anlegen,to create
der Atem; einen langen Atem haben,the breath; to have staying power
der,the doctor’s assistant
aufeinander verlassen,to depend on one another
ausgegrenzt,excluded
der,the outsider
ausüben,to exercise
die Autobahn,the motorway
das Bauwesen,the construction
beirren,to mislead
der Berufsalltag,the working day
die Bestnote,the highest mark
der,the exotic person
das Fachwissen,the expert knowledge
flink,swift
die Frohnatur,the cheerful nature
gutgehen,to go well
der Handwerksberuf,the craftsman's trade
klassisch,classic
die Kreisstadt,the district town
der,the life partner
lebenslustig,fun
der Machospruch,the macho
die Männerdomäne,the man’s world
die Mindmap,the mind map
pädagogisch,pedagogical
pragmatisch,pragmatic
quer,across
die Seltenheit,the rarity
der Sicherheitsdienst,the security service
die Sicherheitsfirma,the security firm
die Skepsis,the scepticism
steuern,to control
trauen,to trust
unterstellen,to assume
unverschuldet,undeserved
das Vertrauen,the trust
das Vorurteil,the prejudice
wagen,to dare
wochenlang,week
der,the dental assistant
zimperlich,finicky
zumindest,at least
