german,english
das Nilpferd,the hippopotamus
das Einkommen,the income
die Mandarine,the mandarin
das Mittelalter,the Middle Ages
das Freibad,the outdoor pool
der Pfirsich,the peach
der Beweis,the proof
die Quittung,the receipt
der Schiedrichter,the referee
das Restaurierung,the restoration
das Wiedersehen,the reunion
das Nashorn,the rhino
der Rhabarber,the rhubarb
der Hahn,the rooster
der Schal,the scarf
der Verkäufer,the seller
die Schalotte,the shallot
der Stern,the star
der Geschmack,the taste
der Kamm,the towel
die Schildkröte,the turtle
der Blick,the view
die Jugendherberge,the youth hostel
ärgern,to annoy
wegbringen,to bring away
fortsetzen,to continue
aufstehen,to get up
wissen,to realize
sich erinnern,to remember
erinnern,to remind
leiden,to suffer
nachdenken,to think about
gekümmert,worried about
hinten,behind
wolkig,cloudy
glücklich,happy
vorn,in the front
drinnen,inside
statt,instead of
ruhig,quiet
der Spargel,the asparagus
die Wandtafel,the blackboard
die schwarze Johannisbeere,the blackcurrant
die Ruhe,the calm
die Kardone,the cardoon
die Erkältung,the cold
die Dattek,the date
das Geburtsdatum,the date of birth
das Geschirr,the dishes
der Zwerg,the dwarf
die E-Mail,the email
das Auge,the eye
das Fax,the fax
die Zukunft,the future
die Erdkunde,the geography
der Hase,the hare
die Strumpfhose,the hoose
der Sprung,the jump
der Fehler,the mistake
das Denkmal,the monument
der Film,the movie
die Musik,the music
der Bleistift,the pencil
die Körperpflege,the personal hygiene
die Haustier,the pet
das Flugzeug,the plane
die Quitte,the quince
die Regel,the rule
das Geheimnis,the secret
der Schuh,the shoe
der Stürmer,the striker
das Arbeitszimmer,the study
der Sonnenschein,the sunshine
die Zahnbürste,the toothbrush
die Ampel,the traffic light
blenden,to blind
zählen,to count
herunterladen,to download
sich verlieben,to fall in love
gießen,to pour
vorstellen,to present
anstehen,to queue
besuchen,to visit
gegenüber,towards
hässlich,ugly
ob,whether
uralt,ancient
bis Bald,bye for now
verdammt,damn
geschieden,divorced
das Ostern,Easter
gleich,equal
fett,fat
beeindruckend,impressive
sich,itself
verrückt,mad
stumm,mute
perfide,perfidious
höflich,polite
bald,soon
die Bürste,the brush
das Gebäude,the building
der Rechner,the calculator
die Dose,the can
der Jubel,the cheer
das Huhn,the chicken
die Wirtschaft,the economy
die Gartenbohne,the French bean
der Spasse,the fun
die Traube,the grape
der Posteingang,the inbox
die Flexion,the inflection
das Gesetz,the law (G.)
das Feuerzeug,the lighter
die Mangostanfrucht,the mangosteen
das Mitglied,the member
der Pilz,the mushrooms
die Stelle,the place
die Armut,the poverty
der Beruf,the profession
der Kürbis,the pumpkin
der Satz des Pythagoras,the Pythagora's theorem
der Satz,the sentence
der Laden,the store
der Sonnenbrand,the sunburn
der Anhänger,the supporter
der Dorn,the thorn
der Dreh,the twist
das Waschen,the washing
das Arbeitplatz,the workplace
sich die Zähne putzen,to brush one's teeth
berechnen,to calculate
feiern,to celebrate
wählen,to choose
säubern,to clean
schliessen,to close
schneiden,to cut
aussteigen,to get out
bleiben,to remain
verdrängen,to replace
unterrichten,to teach
wieder,another time
schwierig,difficult
leise,discrete
fälligkeit,due date
zurzeit,for now
zum Geburtstag viel Glück,happy birthday
abseits,offside
sonst,otherwise
still,silent
die Landwirtschaft,the agriculture
der Termin,the appointment
die Ankunft,the arrival
der Künstler,the artist
die Brombeere,the blackberry
die Sternfrucht,the carambola
der Ton,the clay
der Schrank,the cupboard
der Zweifel,the doubt
die Feige,the fig
die Mitbewohner,the flatmate
das Erdgeschoss,the ground floor
das Lachen,the laugh
der Musikgeschmak,the musical taste
das Ergebnis,the outcome
die Petersilie,the parsley
die Erbse,the pea
der Grund,the reason
die rote Beeren,the red berries
die Schwarzwurzel,the salsify
der Sauerampfer,the sorrel
die Vorspeise,the starter
der Magen,the stomach
der Weizen,the wheat
gelten,to apply
sich freuen,to be pleased
sterben,to die
sich vorstellen,to imagine
beschenken,to make a present
verpassen,to miss
bekommen,to obtain
schwimmbecken,to pool
üben,to practice
the Heiligabend,Christmas Eve
herzlich,cordial
insbesondere,especially
wenig,little
zwingend,mandatory
die Bejahung,the affirmation
die Aufmerksamkeit,the attention
die Markise,the awning
der Verkehr,the circulation
der Grad,the degree
die Ableitung,the derivation
die Wüste,the desert
das Design,the design
der Endiviensalat,the endive
der Liebling,the favourite
der Finger,the finger
der Blumentopf,the flowerpot
die Stachelbeere,the gooseberry
die Reineclaude,the greengage
der Haartrockner,the hairdryer
die Hängematte,the hammock
der Hügel,the hill
die Stube,the lounge
die Litschi,the lychee
die Hochzeit,the marriage
der Teil,the part
das Rührei,the scrambled egg
die Einstellung,the setting
die Geschwister,the siblings
das Schweigen,the silence
die Lösung,the solution
der übersetzer,the translator
die Brunnenkresse,the watercress
dabei sein,to be there
föhnen,to blow-dry
sich beschweren,to complain
entscheiden,to decide
anhalten,to halt
verlassen,to leave
lügen,to lie
verbieten,to prohibit
Nun!,Well!
vorgedrungen,advanced
fast,almost
wach,awake
hell,bright
schmutzig,dirty
liebste,favorite
sofort,immediately
unpraktisch,impractical
unterwegs,on the road
scharf,sharp
die Kugel,the ball
die Heidelbeere,the blueberry
die Mütze,the cap
die Sammlung,the collection
die Baustelle,the construction site
die Gurke,the cucumber
die Gefahr,the danger
die Entscheidung,the decision
die Tiefe,the depth
die Entschuldigung,the excuse
der Stock,the floor
der Fussweg,the footpath
Bekannte,the friends
der Knoblauch,the garlic
der Grünkohl,the kale
der Wahnsinn,the madness
das Streichholz,the match
die Masche,the mesh
der Besitz,the possession
der Spielstand,the score
die Haut,the skin
der Muskelkater,the sore muscles
der Schwamm,the sponge
die Lauchzwiebel,the spring onion
der Koffer,the suitcase
der Rüssel,the trunk
die Rübe,the turnip
darauf,thereon
aufhören,to cease
sich fügen,to comply
entdecken,to discover
unterhalten,to entertain
passen,to go well
wandern,to hike
aufmachen,to open
sich streiten,to quarrel
sich bedanken,to say thank you
abmelden,to sign out
klingen,to sound
anfangen,to start
gelingen,to succeed
aufreissen,to tear open
handeln,to trade
wem,who
aller guten Dinge sind drei,all good things come in threes
gar,at all
verlobt,engaged
flüssig,liquid
irreführend,misleading
die Werbung,the advertisement
der Sessel,the armchair
die Panne,the breakdown
das Brustschwimmen,the breaststroke
die Sache,the case
der Sellerie,the celery
die Kastanie,the chestnut
der Schnittlauch,the chives
die Wahl,the choice
der Mut,the courage
die Johannisbeere,the currant
das Reh,the deer
der Rand,the edge
der Notruf,the emergency call
die Ausflug,the excursion
die Erläuterung,the explanation
der Bruch,the facture
der Fenchel,the fennel
die Wohngemeinschaft,the flat share
die Heizung,the heater
der Feldsalat,the lamb's lettuce
das Hauptgericht,the main course
das Mauspad,the mouse pad
die Kette,the necklace
das Nasenbluten,the nosebleed
die Packung,the pack
die Pastinake,the parsnip
die Vorbereitung,the preparation
die Gegenwart,the present
die Öffentliche Verkehrsmittel,the public transports
der Rettich,the radish
die Fernbedienung,the remote
die Probe,the sample
die Scherbe,the shard
die Zuckerschoten,the snow peas
die Geschwindigkeit,the speed
die Ausbildung,the training
der Wert,the value
das Sternzeichen,the zodiacal sign
freuen,to be looking forward
reichen,to be sufficient
verschenken,to give away
mitteilen,to inform
messen,to measure
besetzen,to occupy
veranstalten,to organize
schützen,to protect
regnen,to rain
schiessen,to shoot
siegen,to triumph
wünschen,to wish
was für,what kind of
tätig,active
herum,around
unten,below
neben,besides
daneben,besides that
staubig,dusty
ewig,eternally
ausgezeichnet,excellent
ausser,except
ausgestorben,extinct
günstig,favorable
sachte,gentle
gerne,gladly
grossartig,great
höchst,highly
riesig,huge
falls,in case
damit,in order to
weiter so,keep it up
freundlich,kind
weitere,more
meiste,most
eins nach dem anderen,one by one
gefreut,pleased
scheinbar,seemingly
irgendwie,somehow
das Abkommen,the agreement
der Dachboden,the attic
die Rechnung,the bill
die Stillzeit,the breastfeeding period
die Beule,the bump
die Kuchen,the cake
die Pappe,the cardboard
der Mangold,the chard
das Küken,the chick
die Vergleich,the comparison
der Wickel,the compress
die Bedingung,the condition
der Glückwunch,the congratulations
die Folgerung,the consequence
der Beitrag,the contribution
der Briefwechsel,the correspondence
der Kraulstil,the crawl
der Kunde,the customer
die Daten,the data
die Lust,the desire
die Verzweiflung,the despair
die Richtung,the direction
die Entfernung,the distance
die Erziehung,the education
die Unterhaltung,the entertainment
die Ausrüstung,the equipment
das Ereignis,the event
die Übertreibung,the exaggeration
die Ausnahme,the exception
die Übung,the exercise
die Verlängerung,the extra-time
die Gefriertruhe,the freezer
die Häufigkeit,the frequency
das Spiegelei,the fried egg
die Ziege,the goat
der Gruss,the greeting
der Schinken,the ham
der Kater,the hangover
die Höhe,the height
der Schluckauf,the hiccup
"jo höher die Zahl ist, desto bsser ist die Note","the higher the number, the better the grade"
der Hausbau,the house construction
der Vorfall,the incident
die Mitteilung,the information
die Verletzung,the injury
der Dolmetscher,the interpreter
die Topinambur,the Jerusalem artichoke
der Schmuck,the jewelry
der Lauch,the leek
die Linse,the lens
die Fastenzeit,the Lent
das Glied,the limb
der Ort,the location
der Standort,the location
die Zusammenkunft,the meeting
die Bewegung,the movement
die Verneinung,the negation
der Täter,the offender
der Eierkuchen,the pancake
die Vergangenheit,the past
das Gebäck,the pastry
der Kugelschreiber,the pen
der Stift,the pin
das Töpfchen,the potty
die Leistung,the power
die Hochrechnung,the projection
der Anteil,the proportion
die Aufnahme,the reception
die Ablehnung,the refusal
die Beziehung,the relationship
das Heilmittel,the remedy
der Verleih,the rental shop
der Wunsch,the request
der Felsen,the rock
der Beutel,the sachet
die Schere,the scissors
das Schaf,the sheep
das Geschäft,the shop
die Gesellschaft,the society
der Zauberspruch,the spell
das Eichhörnchen,the squirrel
der Tacker,the stapler
das Fach,the subject
der Badeanzug,the swimsuit
der Mieter,the tenant
das Gleis,the track
die Wahrheit,the truth
die Wahlbeteiligung,the turnout
der Reichtum,the wealth
das Gewicht,the weight
daher,therefore
davon,thereof
dünn,thin
beraten,to advise
festnehmen,to arrest
leihen,to borrow
verbrennen,to burn
stornieren,to cancel
betrügen,to cheat
zumachen,to close up
beschwören,to conjure
verbrauchen,to consume
zurechtkommen,to cope
erstellen,to create
beherrschen,to dominate
verdienen,to earn
austauschen,to exchange
herausfinden,to find out
zwingen,to force
verzeihen,to forgive
zögern,to hesitate
verstecken,to hide
verbessern,to improve
treten,to kick
verwalten,to manage
legen,to place
auftauchen,to pop up
anbieten,to provide
weiterführen,to pursue
stellen,to put
erhalten,to receive
trennen,to separate
dienen,to serve
nähen,to sew
verbringen,to spend
stechen,to sting
lutschen,to suck
ertragen,to suffer
wechseln,to switch
mitnehmen,to take along
reissen,to tear
werfen,to throw
verwenden,to utilize
unerträglich,unbearable
einzigartig,unique
schwach,weak
Was machst du beruflich?,What is your work?
gern geschehen,you are welcome
